"","station_id","station_name","member_casual","month","lat","lng","start_ride_count","start_trip_duration","end_ride_count","end_trip_duration","total_ride_count","total_avg_trip_duration"
"1",1,"Special Events","casual","05",NA,NA,1,555,1,555,2,555
"2",100,"Orleans St & Merchandise Mart Plaza","casual","01",41.8882,-87.6364,63,1572.50793650794,52,2209.19230769231,115,1860.4
"3",100,"Orleans St & Merchandise Mart Plaza","casual","02",41.8882,-87.6364,48,1788.33333333333,39,1512.97435897436,87,1664.89655172414
"4",100,"Orleans St & Merchandise Mart Plaza","casual","03",41.8882,-87.6364,89,1441.24719101124,46,1609.10869565217,135,1498.44444444444
"5",100,"Orleans St & Merchandise Mart Plaza","casual","04",41.8882,-87.6364,114,1720.59649122807,69,1976.65217391304,183,1817.14207650273
"6",100,"Orleans St & Merchandise Mart Plaza","casual","05",41.8882,-87.6364,238,1728.60924369748,142,6888.92253521127,380,3656.93684210526
"7",100,"Orleans St & Merchandise Mart Plaza","casual","06",41.8882,-87.6364,391,1964.27877237852,247,1446.36842105263,638,1763.77115987461
"8",100,"Orleans St & Merchandise Mart Plaza","casual","07",41.8882,-87.6364,474,1990.86497890295,283,1854.26855123675,757,1939.79920739762
"9",100,"Orleans St & Merchandise Mart Plaza","casual","08",41.8882,-87.6364,477,1563.43396226415,305,1875.79672131148,782,1685.26342710997
"10",100,"Orleans St & Merchandise Mart Plaza","casual","09",41.8882,-87.6364,390,1492.76666666667,245,1630.99591836735,635,1546.09921259843
"11",100,"Orleans St & Merchandise Mart Plaza","casual","10",41.8882,-87.6364,237,1328.77215189873,187,1699.37967914439,424,1492.22405660377
"12",100,"Orleans St & Merchandise Mart Plaza","casual","11",41.8882,-87.6364,98,1447.80612244898,72,1362.48611111111,170,1411.67058823529
"13",100,"Orleans St & Merchandise Mart Plaza","casual","12",41.8882,-87.6364,76,30107.4868421053,57,2415.33333333333,133,18239.4210526316
"14",100,"Orleans St & Merchandise Mart Plaza","member","01",41.8882,-87.6364,1754,674.550171037628,1482,598.419028340081,3236,639.684177997528
"15",100,"Orleans St & Merchandise Mart Plaza","member","02",41.8882,-87.6364,1552,684.980025773196,1342,601.434426229508,2894,646.238424326192
"16",100,"Orleans St & Merchandise Mart Plaza","member","03",41.8882,-87.6364,1542,1108.0784695201,1333,646.825206301575,2875,894.217391304348
"17",100,"Orleans St & Merchandise Mart Plaza","member","04",41.8882,-87.6364,1849,769.425094645754,1322,725.998487140696,3171,751.320403658152
"18",100,"Orleans St & Merchandise Mart Plaza","member","05",41.8882,-87.6364,2200,840.649090909091,1843,810.992403689636,4043,827.130101409844
"19",100,"Orleans St & Merchandise Mart Plaza","member","06",41.8882,-87.6364,2362,832.213378492803,2122,717.715362865221,4484,778.028545941124
"20",100,"Orleans St & Merchandise Mart Plaza","member","07",41.8882,-87.6364,2510,2307.47370517928,2296,820.90243902439,4806,1597.284852268
"21",100,"Orleans St & Merchandise Mart Plaza","member","08",41.8882,-87.6364,2915,859.109433962264,2670,767.375655430712,5585,815.254610564011
"22",100,"Orleans St & Merchandise Mart Plaza","member","09",41.8882,-87.6364,2692,912.618870728083,2273,731.735151781786,4965,829.809466263847
"23",100,"Orleans St & Merchandise Mart Plaza","member","10",41.8882,-87.6364,2400,790.814583333333,2190,668.186757990868,4590,732.305882352941
"24",100,"Orleans St & Merchandise Mart Plaza","member","11",41.8882,-87.6364,1114,762.738779174147,1129,677.394154118689,2243,719.78109674543
"25",100,"Orleans St & Merchandise Mart Plaza","member","12",41.8882,-87.6364,919,733.280739934712,838,612.727923627685,1757,675.783153101878
"26",101,"63rd St Beach","casual","01",41.781,-87.5761,3,1458.33333333333,2,20101,5,8915.4
"27",101,"63rd St Beach","casual","02",41.781,-87.5761,6,3460.83333333333,13,1599.84615384615,19,2187.52631578947
"28",101,"63rd St Beach","casual","03",41.781,-87.5761,43,31816.5581395349,32,12367.84375,75,23518.44
"29",101,"63rd St Beach","casual","04",41.781,-87.5761,33,7049.60606060606,35,8240.8,68,7662.72058823529
"30",101,"63rd St Beach","casual","05",41.781,-87.5761,62,2994.09677419355,59,2988.37288135593,121,2991.30578512397
"31",101,"63rd St Beach","casual","06",41.781,-87.5761,91,3209.9010989011,91,2735.3956043956,182,2972.64835164835
"32",101,"63rd St Beach","casual","07",41.781,-87.5761,148,3517.93243243243,147,4060.63945578231,295,3788.36610169492
"33",101,"63rd St Beach","casual","08",41.781,-87.5761,174,3124.20689655172,172,3060.88372093023,346,3092.72832369942
"34",101,"63rd St Beach","casual","09",41.781,-87.5761,109,4022.42201834862,105,4378.17142857143,214,4196.97196261682
"35",101,"63rd St Beach","casual","10",41.781,-87.5761,43,2756.46511627907,33,2762.30303030303,76,2759
"36",101,"63rd St Beach","casual","11",41.781,-87.5761,1,566,5,2273.2,6,1988.66666666667
"37",101,"63rd St Beach","casual","12",41.781,-87.5761,3,852.666666666667,7,1818.14285714286,10,1528.5
"38",101,"63rd St Beach","member","01",41.781,-87.5761,37,1395.27027027027,36,1245.27777777778,73,1321.30136986301
"39",101,"63rd St Beach","member","02",41.781,-87.5761,45,1380.33333333333,43,1479.27906976744,88,1428.68181818182
"40",101,"63rd St Beach","member","03",41.781,-87.5761,53,1234.30188679245,48,1471.66666666667,101,1347.10891089109
"41",101,"63rd St Beach","member","04",41.781,-87.5761,42,3189.33333333333,33,3776.78787878788,75,3447.81333333333
"42",101,"63rd St Beach","member","05",41.781,-87.5761,51,1284.54901960784,44,1546.97727272727,95,1406.09473684211
"43",101,"63rd St Beach","member","06",41.781,-87.5761,75,1350.22666666667,67,1477.55223880597,142,1410.30281690141
"44",101,"63rd St Beach","member","07",41.781,-87.5761,64,1505.0625,68,1553.11764705882,132,1529.81818181818
"45",101,"63rd St Beach","member","08",41.781,-87.5761,65,1568.47692307692,60,1529.11666666667,125,1549.584
"46",101,"63rd St Beach","member","09",41.781,-87.5761,80,1483.5375,76,1517.68421052632,156,1500.17307692308
